選課代碼,課程名稱,開課科系,開課年級,開課班級,學分數,必選修,開課人數,選課人數,授課老師
1272,班級活動,資訊,一,資訊一甲,0,必修,60,60,劉怡芬
1274,現代公民與社會實踐,資訊,一,資訊一甲,2,必修,60,60,陳迪暉
1279,微積分(二),資訊,一,資訊一甲,3,必修,60,60,王志雄
1280,線性代數,資訊,一,資訊一甲,3,必修,60,60,林佩君
1283,班級活動,資訊,一,資訊一乙,0,必修,60,54,劉明機
1285,現代公民與社會實踐,資訊,一,資訊一乙,2,必修,60,57,王謙
1290,微積分(二),資訊,一,資訊一乙,3,必修,60,57,林佩君
1294,班級活動,資訊,一,資訊一丙,0,必修,60,60,郭崇韋
1295,體育(二),資訊,一,資訊一丙,1,必修,60,59,張宜正
1297,程式設計,資訊,一,資訊一丙,2,必修,60,60,郭崇韋
1305,程式設計,資訊,一,資訊一合,2,必修,30,30,林佩蓉
1308,系統程式,資訊,二,資訊二甲,3,必修,60,60,周兆龍
1309,資料庫系統,資訊,二,資訊二甲,3,必修,60,60,林明言
1310,機率與統計,資訊,二,資訊二甲,3,必修,60,60,劉怡芬
1312,系統程式,資訊,二,資訊二乙,3,必修,60,60,劉宗杰
1313,資料庫系統,資訊,二,資訊二乙,3,必修,60,60,許懷中
1314,機率與統計,資訊,二,資訊二乙,3,必修,60,60,游景盛
1316,系統程式,資訊,二,資訊二丙,3,必修,60,60,劉宗杰
1317,資料庫系統,資訊,二,資訊二丙,3,必修,60,60,林明言
1318,機率與統計,資訊,二,資訊二丙,3,必修,60,60,游景盛
1320,系統程式,資訊,二,資訊二丁,3,必修,60,60,周兆龍
1321,資料庫系統,資訊,二,資訊二丁,3,必修,60,60,葉春秀
1322,機率與統計,資訊,二,資訊二丁,3,必修,60,60,劉怡芬
1329,電子商務安全,資訊,二,資訊二乙,3,選修,60,60,魏國瑞
1348,人工智慧導論,資訊,三,資訊三乙,3,選修,60,58,林峰正
1351,人工智慧自然語言導論,資訊,三,資訊三甲,3,選修,60,50,林哲維
1352,行動應用程式開發,資訊,三,資訊三丙,3,選修,60,48,陳錫民
1356,嵌入式系統,資訊,三,資訊三丙,3,選修,60,47,蔡明峰
1359,程式語言,資訊,三,資訊三乙,3,選修,60,57,吳育倫
1361,資訊實務案例探討,資訊,三,資訊三丁,2,選修,60,53,吳上玄
1362,資訊安全管理,資訊,三,資訊三甲,3,選修,60,28,陳星百
